"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Australia","AUS","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","892781999.92323","1320041500","1358960799.92038","1842725999.89405","1906895199.89352","1565328399.8579","1569255999.82356","1365679999.78804","1493121699.73721","1262842799.73214","1708729729.63564","3357974992.06856","6339769705.09795","6213816655.59844","5329033274.49975","3989819260.83148","3862095902.59684","3319307293.5975","3822365148.2425","5486014411.04769","6366459350.08915","4824244146.5281","9995391600.40448","11987780750.3144","9886483792.59207","8361034847.72879","10346338190.1","12583629547.2","16852983452","16961256847.6","19318745003.6","19339711293.8","13852414250","14188551395.83","14313164696.749","14951888047.4615","17402143062.4941","17588260728.278","15377558514.524","21955812041.5668","18821548249.5475","18663980934.023","21567007444.3392","33258075921.6737","36925540884.178","43257066063.0043","55078715673.8752","26907894957.0365","32923506717.69","41742188613.4042","42267779109.093","46714035204.1131","49138172510.564","52837031644.0728","53910346084.4978","49261208627.7604","55034824816.2277",
"Austria","AUT","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","720945599.972864","847058099.98113","1081957339.96066","1229910839.9473","1319442159.91048","1314046079.90766","1336543419.87787","1488335599.86362","1650818999.81995","1541023999.81334","1805764299.78482","2455019778.00058","3280218435.98178","4335903604.28833","6428287994.7823","6510896135.7354","6374076483.26061","6813639631","9804523274.84112","14883521908.6127","17725432499.8982","13676531830.3903","14949076264.7937","12575293083.3989","10759891829.6789","11678514766.4037","14426649895.1","17768882441.4","16043319095","16881869815.2","17227718750","17414573301.8","19025540500","21878104077.68","23852062387.1103","23368745767.5376","26833512487.996","22021085829.0453","25207680135.065","18923057800.5695","17649558898.3226","15598207618.5684","13182004727.5278","12729301637.2171","12188421304.8898","11827978705.6873","12911209781.6252","18193956212.9763","16741450067.7419","17903947898.1003","22241612907.9189","24769009817.2969","27211429933.8336","23316759301.1","25001505276.7679","22239730383.4995","23255489171.1885",
"Azerbaijan","AZE","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590075.6","2034228.5","120884195.28293","213661302.23125","467319239.748315","448540667.957975","672589580.760761","679605515.10172","724979354.362612","720471770.803941","802839746.63624","1075084318.50249","1177743706.68988","2500372936.792","4273114894.203","6467239211.84036","5363850274.37805","6409059000.90041","10273926427.1849","11277345766.0608","15175667852.4118","15816417366.0159","7319394023.49246","6573862632.67133",
"Burundi","BDI","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","12677999.999872","9219999.99987","7039999.99986","5049999.99967","2950265.89999904","7453827.19999904","15395912.567819","17727063.52819","18549209.19607","21591208.74601","14367912.49644","30847718.64676","49159839.64697","95905702.45","83359422.89249","96725092.69021","104654075.78852","68145910.1870823","37357590.088398","33508942.4895442","25040943.8999828","35103947.39073","75804790.9","69068842.2","76449593.5","106526869.2","111668459.4","147473739","179911731.5","169711851.32778","211303517.62015","216108497.78705","145960555.60714","118039200.31847","70480657.28252","52981461.15079","37646877.95848","17974678.32597","59105710.79368","67366291.1762","66173618.87098","100575248.19297","131138493.6756","177130964","266537170.13072","323088605.87703","332084673.44819","295447545.38225","308757022.96656","329308252.88","317139664.96812","136134359.26714","95158427.87625",
"Belgium","BEL","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","1526945820.44899","1819222317.74996","1756067569.878","1973351170.91299","2227003946.41956","2339311317.82639","2357973397.27775","2597706013.42239","2486675901.24228","2395121264.28902","2946532104.42997","3721841293.02854","5028343008.6234","8052362589.14461","11403306356.3543","9983535152.77296","9173444427.51018","10958481353.724","13591051045.1457","22959055095.8392","27973529720.7576","18539746515.8745","19545397132.1357","17754304810.4012","15102824036.8661","16026467815.8534","18899778787.6617","25898988438.2314","23145052875.8969","22886846176.4825","23788897633.806","22868662952.2116","22146927959.2128","21197695560.0768","23474025971.0205","24120468155.9513","22609781415.8045","20635948963.8253","21012760379.0444","13346236651.2679","12271748513.5042","13560301582.8816","14697916832.8962","14448826394.5721","13990816825.369","11996387859.6192","13436679649.158","16485312502.4627","15680648406.4191","23861671596.4723","26779037381.316","29114293149.0739","30768940132.8315","26946180324.04","25444420303.4322","24101847947.8291","23480913946.4421",
"Benin","BEN","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","10700000","10700000","9949999.99925","10149999.99925","9669999.99913","7999999.999","10019999.99888","7469999.99863","15509999.99619","24595992.1332122","28416525.0039169","33081012.4868932","34602647.4971392","15034899.1036702","19231392.009481","21283290.9200568","17413575.6920921","19924522.4106624","14689215.2300305","62053719.3811988","10015021.9268975","7909327.36605635","5874456.75897324","7732260.74899694","8238022.32176454","8968517.55609549","8779569.38637022","7850714.80308173","69184858.9659456","195544088.052239","248919921.099967","248298935.705217","262494130.757959","197945479.787452","261830147.000862","253079050.739927","261487883.33397","400066581.594705","458764035.677402","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","14100000","15400000","13549999.99925","14049999.99925","16269999.99913","18399999.999","23429999.99887","25779999.99862","36359999.99694","42947168.6304233","47473860.7379172","62641151.02688","83620632.7881625","76548962.0347181","71424581.8006716","57144752.5425535","38214176.4743873","67314484.8601586","74792063.7493426","75291549.4745803","66873767.5379939","89253939.338526","109730227.321419","143159205.811166","237824072.230596","327936037.598431","325409642.037084","269930162.803871","304754681","349978729.853759","345005573.179309","386594479.799135","241497640.290464","347376492.888113","338588963.614455","344837957.588666","373331547.626076","295012453.53333","242631397.043574","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","270471419.998","143195873.99876","138200000","148263283.78457","288917081.28389","241498635.3","321264478.9999","413645569.49085","331184643.49965","159682645.9999","208528949.691673","545880998.96468","408085843.599941","356198602.76566","434858520.9","876251425","1076508833","532096152","659565646","1307945016.1","1853480695","2446571636.8645","3174800894.21255","2376175759.95368","1869480045.12944","1610776817.55286","1935771318.81749","1634375947.30368","1515788657.53945","1305630681.61749","1721734785.81472","2624623705.55854","3221759635.64082","2825004867.53365","3877163417.1648","5277479282.67575","5787356027.79609","10341543632.8091","11174826633.5206","9174751649.12065","12754226945.4343","18087689731.85","22319791707.9921","27493077462.3217","32283836599.7213",
"Bulgaria","BGR","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","670207824.1","1241109000","1052450357.43","1396927257.6011","1635188165.99872","864262494.07468","2485359930.90651","3056954172.20908","3264673404.95347","3507199103.24374","3646131855.16217","4846429827.92671","6825720095.94136","9337108246.72073","8697081228.65003","11756001803.6384","17544560082.4515","17930378450.3747","18522120690.4971","17223201500.342","17215734344.322","20507099766.2662","19883353585.1","20129701290.2676","22153050115.7332","25176064567.1215",
"Bahrain","BHR","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","22700000","21545599.99976","28342399.999763","51630299.999763","67942399.999763","71656689.999763","96340310","98895574.9975","90619124.9975","175720924.9945","310517302.99045","456619574.19526","528660960.9","527347377.29413","690672773.49205","1041823460.68973","1603748475.58589","1603323290.57339","1483581580.96642","1348689393.59985","1708764564.96175","1548021614.7","1221128480.8","1313227659","1110178572","1292613621.2","1567656816.4","1448448750","1360774837.94","1227157719.98295","1337941447.50138","1373829666.26072","1333801370.2435","1122373064.08082","1412574398.14121","1605306840.70726","1725453575.86507","1777159598.8672","1840973982.64498","2006203381.65803","2051924249.16691","2895643364.2256","4342187892.25575","4050919132.47609","4008298940.6211","5299462793.16513","4774195661.08347","5454261328.96492","5527718607.2","6229407001.85407","3546207816.07445","",
