 , China, Japan, Switzerland, Saudi Arabia, United States, Hong Kong, Russia, South Korea, Brazil, India, Singapore, Germany, Mexico, Thailand, France, Italy, United Kingdom, Algeria, Indonesia, Poland, Turkey, Israel, Malaysia, Czech Republic, United Arab Emirates, Canada, Philippines, Libya, Denmark, Spain, Peru, Norway, Sweden, Australia, Lebanon, South Africa, Colombia, Iraq, Chile, Romania, Argentina, Vietnam, Netherlands, Kuwait, Bangladesh, Qatar, Nigeria, Kazakhstan, Hungary, Morocco
Norway, 7022.11362305162, 8407.553605789537, 1461.3664407816702, 4796.81914215802, 6232.256833272336, 8577.349947184191, 1642.69680264743, 7717.942254715921, 9908.955168768649, 5986.664073940442, 10056.734684939853, 838.8239330555417, 9195.438167895296, 8674.89705729485, 1341.6313628617118, 2006.8754385813893, 1152.993430418187, 2634.0465750638095, 10938.601392016195, 1061.0585133967115, 2700.3772189839915, 3613.7919965289166, 9755.814204686427, 1118.370814287064, 5167.664697889469, 5598.817081598994, 9685.749576318316, 3011.213193083019, 484.8601773274413, 2389.3206503769825, 11043.088746130776, 0.0, 415.32608420462515, 15974.922126608097, 3409.603861082682, 9653.113043699152, 9277.162812980601, 3836.405039421193, 12730.740783381598, 2003.9183889987987, 12258.841109551395, 8272.54053044487, 914.8944658274355, 4386.19434226486, 7172.25217230422, 4952.703359260196, 5658.814341986824, 3792.1526167114557, 1482.8929627954335, 3150.7777227458632
Sweden, 6706.671426989162, 8172.697158197344, 1546.4907990911279, 4452.664415671728, 6634.861773765475, 8213.105602605832, 1227.509568690967, 7434.24482807595, 10224.63643340265, 5571.450445786132, 9646.69087415704, 810.9714939902304, 9583.895912723528, 8269.745202578611, 1542.9430995424118, 1976.2149867510448, 1430.4600432514603, 2732.935604479553, 10527.250247795817, 808.7284898138272, 2394.1520538271575, 3321.908985352615, 9344.780193324155, 1053.610855289764, 4791.138734636567, 5993.310994567677, 9327.825389478172, 2963.2669313655115, 522.0533531365372, 2593.4072951690264, 11446.271676243972, 415.32608420462515, 0.0, 15609.62567756302, 3108.0554860030475, 9501.409039274484, 9688.491708886899, 3479.6700566649656, 13085.83577704922, 1743.509170547324, 12572.017865257489, 7885.244044319669, 1125.6309533486638, 4023.88903042988, 6762.916125079258, 4585.106361438767, 5657.334968165781, 3400.95434188575, 1317.5464964410369, 3351.8923052903874
Australia, 9008.412412957385, 7948.993759716048, 16592.86916429859, 12633.361546976266, 15946.011241737415, 7398.29628182262, 14481.439111251873, 8413.122540724682, 14060.513126184143, 10352.232687675041, 6209.965923782335, 16066.004005121447, 13176.946547535355, 7475.438702291892, 16919.884012227983, 16217.049912210317, 16978.127377942117, 16975.78759450472, 5396.024272489592, 15558.831426146244, 14496.17670886891, 13990.263251678592, 6526.812447666207, 16035.118294054795, 11954.657525298438, 16106.76467516717, 6289.650895606854, 15984.019651493076, 16034.64092514408, 17571.00575497975, 12855.611547734652, 15974.922126608097, 15609.62567756302, 0.0, 14055.923918849838, 10822.77946320397, 14427.30060731097, 13275.643256414909, 11323.743496756835, 15147.241400484576, 11728.787717276977, 7746.185472466195, 16624.96877475484, 12775.68861102844, 9011.22192652205, 12246.477937035239, 15156.10584464399, 12223.475490472698, 15713.800581247338, 17815.91715421141
Lebanon, 6973.095348680337, 8989.99648788932, 2759.878220938525, 1491.6259191880843, 9353.59535567586, 7634.371803203873, 2438.6748415912634, 7914.93451762968, 10389.829445696638, 3980.6884443357444, 7940.759690485427, 2718.0556636247875, 12386.081731793773, 6867.878170834808, 3194.037396106512, 2199.672980361187, 3455.3561478462525, 2947.8345897628965, 8694.850222527912, 2349.3571480407913, 713.967990008924, 234.83495394416173, 7624.731427224568, 2487.9787425077484, 2103.907701266535, 8814.781803569282, 8698.811463830238, 2072.632606694302, 2995.011004152293, 3518.8014591006604, 12823.511123994507, 3409.603861082682, 3108.0554860030475, 14055.923918849838, 0.0, 6668.027456752432, 11503.935003068287, 826.1580279107615, 13343.887523159206, 1425.2697689717202, 12394.628864850223, 6957.759181571312, 3181.8193622897484, 1280.9599170899153, 5404.479492800066, 1817.250308191336, 3968.941893840208, 3464.3298387871514, 2044.4036712826103, 3874.994747301452
South Africa, 11657.916644241974, 13503.433286604879, 8339.484483121232, 5940.77847267655, 13026.51538197459, 10681.323662409812, 9100.52146212208, 12444.007453261574, 7893.490832288804, 7988.63831829508, 8634.745974399955, 8815.734117467986, 14598.235615794796, 8964.21251590203, 8681.381505875464, 7688.992224616479, 9019.237988929919, 7427.507292149015, 8570.462898464986, 8696.10026200399, 7313.99058049618, 6433.2660434111995, 8517.031298619222, 8535.394840558856, 6246.76379427922, 13059.95429515244, 10974.213149711162, 6706.198503766995, 9168.546493979384, 8056.290978917979, 10912.097560857539, 9653.113043699152, 9501.409039274484, 10822.77946320397, 6668.027456752432, 0.0, 11460.705153470235, 6783.6313265462195, 9222.324587643794, 7801.444568422445, 8156.437295913232, 9851.578258704441, 8969.774966771458, 6475.491798176264, 8656.03616869957, 6197.567040755495, 4468.3560981229975, 9535.16019567302, 8190.770906675367, 7600.039035527604
Colombia, 14950.50715917881, 14314.955077831775, 8992.66203713493, 12840.870126455657, 3823.4862701364436, 16883.786372107592, 10908.740487502226, 14846.425723494835, 3664.639600606195, 15212.929786446828, 19321.767156071608, 9431.618613322315, 3176.516368570185, 17889.41926069068, 8630.911466472757, 9382.242145476821, 8504.088762136422, 8556.223406020348, 19814.40341470424, 9948.024989481983, 11104.620433764916, 11539.248380202258, 19032.590650900307, 9512.044037208863, 13573.55630476925, 4541.320200211924, 17311.30420211083, 9473.643051175532, 9376.328038891927, 8022.119617551261, 1880.2266529395602, 9277.162812980601, 9688.491708886899, 14427.30060731097, 11503.935003068287, 11460.705153470235, 0.0, 12306.679676439247, 4246.22415096689, 10451.920533813636, 4646.764557521535, 17164.78090144749, 8856.57916268499, 12780.612218384134, 16445.199582717418, 13274.633698838068, 9008.5317216289, 13000.130530629287, 9867.822263208216, 7632.965730506878
Iraq, 6291.190949628431, 8349.923964959073, 3442.7753400693337, 991.0240559137573, 9968.67776778904, 6837.856499292109, 2547.313189449826, 7243.222893827533, 11173.34231951396, 3158.075863778109, 7127.106477383505, 3260.825722163176, 12986.984343211208, 6041.741104428331, 3861.414904348016, 2948.174712049986, 4087.8359057950966, 3754.5030309606827, 7894.655694769807, 2815.6155110519335, 1262.2591976563756, 876.3436938533913, 6810.388022220399, 3070.983313266945, 1381.75175008784, 9386.936097669965, 7889.623315245889, 2898.563605206984, 3483.7835604841507, 4295.41719264146, 13649.617382068496, 3836.405039421193, 3479.6700566649656, 13275.643256414909, 826.1580279107615, 6783.6313265462195, 12306.679676439247, 0.0, 14093.268142632804, 2000.1941330995485, 13106.1917846877, 6144.106809414169, 3781.423580173581, 556.0149125043861, 4581.5361043070925, 1130.4651946067424, 4635.3950349221395, 2948.8595305852677, 2639.8372378080635, 4688.774483027036
Chile, 19060.637231473556, 17230.03169881158, 11851.364952121712, 13937.647557487851, 8069.586110845863, 18699.94111136411, 14129.70320637381, 18356.433331783686, 3011.1462644200506, 16918.67428669144, 16392.895050015064, 12524.830250944506, 6610.408572307544, 17650.194986430408, 11648.245685150898, 11909.007421562928, 11674.760015477099, 10917.557518143889, 15601.926400663191, 12986.2442471419, 13369.433316891847, 13230.166358981345, 16555.601068714663, 12472.655819850761, 14636.02236462909, 8784.234712783174, 17613.365419100526, 11446.859643685917, 12628.346381359659, 10702.133661186446, 2466.395421342902, 12730.740783381598, 13085.83577704922, 11323.743496756835, 13343.887523159206, 9222.324587643794, 4246.22415096689, 14093.268142632804, 0.0, 13024.826723028282, 1112.4838057686832, 18592.41427637196, 12012.50411036619, 14258.06899495149, 17878.19565678861, 14411.011368698284, 9487.952292851382, 16386.311746536834, 12656.692306863515, 10030.271942234383
Romania, 7058.631917474406, 8882.366322664258, 1470.1317315405847, 2881.0499712361216, 7976.10316657694, 8135.220755381487, 1497.8572442064017, 7933.8318963095435, 10015.261906186037, 4805.045193415796, 8937.60801136803, 1294.3412244836616, 11002.642108387716, 7710.895344669164, 1871.3047012983993, 1138.1990872500444, 2087.6719996735083, 2116.119607975611, 9756.964464688239, 946.8038566299848, 748.6749962417683, 1616.9604561890783, 8620.589549987773, 1077.600726354292, 3381.9131090240876, 7412.738724013628, 9255.002724436776, 1701.757033204637, 1572.6809830544064, 2471.4981010633833, 11982.317554443505, 2003.9183889987987, 1743.509170547324, 15147.241400484576, 1425.2697689717202, 7801.444568422445, 10451.920533813636, 2000.1941330995485, 13024.826723028282, 0.0, 12243.14065751965, 7593.813840744671, 1785.2383677223597, 2551.8347382757624, 6181.485223441033, 3125.0900387602874, 4318.462073070488, 3409.3166918987363, 640.230678987828, 3037.235204272102
Argentina, 19278.044028869364, 18338.332614249288, 11206.089453540577, 12874.89720910248, 8384.265787581448, 18488.30116428653, 13489.697743347151, 19409.69827834986, 2349.8936404308965, 15815.595428802824, 15891.868401415688, 11923.023539140926, 7373.092056083711, 16894.42115826212, 11063.23890433704, 11167.580100580815, 11141.559099962058, 10179.818137718186, 15234.445621830095, 12342.76637491355, 12499.447741312884, 12261.368225723529, 15975.257975520546, 11829.266375191317, 13553.510752027776, 9059.240773574968, 17792.737393312145, 10598.384729181831, 12079.07562817818, 10059.198762854945, 3118.6106034192026, 12258.841109551395, 12572.017865257489, 11728.787717276977, 12394.628864850223, 8156.437295913232, 4646.764557521535, 13106.1917846877, 1112.4838057686832, 12243.14065751965, 0.0, 17878.22945725536, 11457.74896576541, 13224.368474817604, 16793.55123989659, 13339.514080197256, 8473.502950583535, 15652.442568560195, 11951.849348195363, 9343.725808545392
Vietnam, 2325.551467123371, 3670.078783668391, 8924.470308989146, 6028.770577307972, 13346.042802548887, 866.46890886136, 6735.307466967877, 2739.499227394399, 17190.115085811725, 3002.934803077106, 2206.792088883583, 8328.352702869493, 14757.860808589894, 987.7166846949476, 9197.395535592925, 8731.878714549543, 9232.313297336046, 9694.880025263446, 3026.3422636522946, 7830.632716575813, 7106.105064624466, 7017.204392372047, 2036.8136551892928, 8326.429136071669, 5263.47667201319, 12624.517939574405, 1751.4857479821562, 8995.604322349402, 8289.693012138188, 10039.664553333627, 18969.568367164647, 8272.54053044487, 7885.244044319669, 7746.185472466195, 6957.759181571312, 9851.578258704441, 17164.78090144749, 6144.106809414169, 18592.41427637196, 7593.813840744671, 17878.22945725536, 0.0, 8880.154927410978, 5840.103364042343, 1615.491980450566, 5536.522377964542, 10496.373223646393, 4484.684620493166, 8065.1243757776465, 10628.765103055639
Netherlands, 7820.373149782316, 9292.337044890362, 631.3484537447637, 4660.1642121917985, 6190.865042391631, 9266.809188533143, 2145.9233381837644, 8558.879308016594, 9114.230913290809, 6356.543457176935, 10499.21888365642, 575.0844123906971, 9218.186128253514, 9175.09610255573, 428.01467726545786, 1293.6784650057198, 355.5712856674421, 1740.783433269325, 11357.30858743944, 1091.4485094339775, 2533.3884415196812, 3347.0809077599883, 10187.877553485765, 710.6409898363603, 5161.648472308536, 5633.96580557986, 10390.111616977882, 2263.893416878199, 621.5154137801558, 1481.1191608253669, 10529.327425555937, 914.8944658274355, 1125.6309533486638, 16624.96877475484, 3181.8193622897484, 8969.774966771458, 8856.57916268499, 3781.423580173581, 12012.50411036619, 1785.2383677223597, 11457.74896576541, 8880.154927410978, 0.0, 4335.149710508961, 7644.254236149124, 4909.131287227556, 4816.876954364425, 4413.536109371175, 1145.8739498982745, 2242.9956708587183
Kuwait, 6216.436775568658, 8305.278979758325, 3983.3585911609703, 539.2578160443336, 10523.836955891562, 6577.537118899813, 3046.4755389394113, 7172.044972186559, 11416.488413436327, 2837.3528150403336, 6674.145472495098, 3816.712005979516, 13542.982583150251, 5654.65277673037, 4406.200071703291, 3465.1214855658986, 4638.5919658610865, 4226.540840106148, 7416.86459760326, 3370.5860377014483, 1808.7576631417992, 1247.1808805541962, 6359.403978175812, 3625.015577217702, 836.0632942374909, 9942.888669219672, 7591.587791861251, 3320.5661053554895, 4038.845191605412, 4797.506203205568, 14039.37378609245, 4386.19434226486, 4023.88903042988, 12775.68861102844, 1280.9599170899153, 6475.491798176264, 12780.612218384134, 556.0149125043861, 14258.06899495149, 2551.8347382757624, 13224.368474817604, 5840.103364042343, 4335.149710508961, 0.0, 4244.69810266906, 574.629818908948, 4771.111896894581, 3107.9817294716026, 3191.9859826727816, 5148.080096936821
Bangladesh, 3025.900784580068, 4895.165499467948, 7588.092389327414, 4414.989240540987, 12931.720192688737, 2427.4467457401315, 5549.656284377217, 3792.507455326313, 15580.555516924094, 1423.7957982156202, 2884.8705830371155, 7072.974418167463, 15106.95714727368, 1535.8920769245865, 7910.398520389089, 7307.265979473693, 7999.6615020387035, 8235.48646198813, 3770.4187300130234, 6559.0125577103045, 5623.935486025372, 5445.983754634715, 2587.638306875124, 7024.666389144106, 3648.2468477470734, 12199.976532720782, 3358.401346064754, 7467.038581765992, 7097.030963240989, 8652.850237432933, 18160.8999497692, 7172.25217230422, 6762.916125079258, 9011.22192652205, 5404.479492800066, 8656.03616869957, 16445.199582717418, 4581.5361043070925, 17878.19565678861, 6181.485223441033, 16793.55123989659, 1615.491980450566, 7644.254236149124, 4244.69810266906, 0.0, 3922.8522663178533, 8881.906983285495, 3459.1123576767236, 6710.742950155579, 9179.010522841556
Qatar, 6152.884199261465, 8252.635027295788, 4549.182253759086, 492.25372851469814, 11098.350533414663, 6314.333497830942, 3571.406614677901, 7102.148522322999, 11676.868580285778, 2565.826166880781, 6204.043694164397, 4391.280385426047, 14117.378931356028, 5261.5974158337385, 4974.628759490187, 4015.257047846463, 5210.863794016132, 4740.011298744493, 6918.360384833284, 3943.102307564988, 2380.2507653033404, 1745.4523693197802, 5892.6196364989, 4199.183260863615, 299.8942632426547, 10516.783166917063, 7280.800153937528, 3801.045685986473, 4611.374797933332, 5333.067172352195, 14437.565197734275, 4952.703359260196, 4585.106361438767, 12246.477937035239, 1817.250308191336, 6197.567040755495, 13274.633698838068, 1130.4651946067424, 14411.011368698284, 3125.0900387602874, 13339.514080197256, 5536.522377964542, 4909.131287227556, 574.629818908948, 3922.8522663178533, 0.0, 4980.352895240391, 3337.637387763241, 3765.3183488151294, 5647.279938775393
Nigeria, 10924.275949999763, 12958.860971643197, 4206.879467137379, 4491.009494488511, 8904.124923577905, 11292.422461664497, 5816.018518684253, 11873.401311088399, 6701.388826920308, 7545.981623190946, 10678.250843474294, 4858.661012609688, 11385.131850575961, 10086.522454007807, 4450.2555462374685, 3681.146024297647, 4767.522178143368, 3109.447937112732, 11130.379124456273, 4952.7643958373055, 4249.28336473793, 3810.1893660859487, 10408.648661556228, 4603.807325594783, 5241.236141768597, 8762.962116905415, 12219.24076968338, 2708.9718153624103, 5198.765413183157, 3654.5135716027553, 9636.52684781957, 5658.814341986824, 5657.334968165781, 15156.10584464399, 3968.941893840208, 4468.3560981229975, 9008.5317216289, 4635.3950349221395, 9487.952292851382, 4318.462073070488, 8473.502950583535, 10496.373223646393, 4816.876954364425, 4771.111896894581, 8881.906983285495, 4980.352895240391, 0.0, 7416.695095347945, 4408.408170894576, 3136.253507359873
Kazakhstan, 3652.452064144287, 5562.749448349543, 4536.411786479958, 3623.295480846285, 9540.941566617012, 4859.650152359611, 2271.7436804346894, 4547.839281004029, 13398.615835240882, 2555.4192507964453, 6323.508744238159, 3879.5738833056694, 12110.601542071876, 4910.760532290767, 4756.895538064521, 4496.870357469804, 4761.37819875185, 5488.547893346844, 7214.463937078742, 3405.0422587762555, 3205.756530588627, 3649.1495760775315, 6036.6820303478335, 3916.83221455483, 3306.922479423083, 8820.967078758795, 5986.725495284718, 5067.250418185914, 3811.878555305928, 5684.57239352026, 14817.829900034354, 3792.1526167114557, 3400.95434188575, 12223.475490472698, 3464.3298387871514, 9535.16019567302, 13000.130530629287, 2948.8595305852677, 16386.311746536834, 3409.3166918987363, 15652.442568560195, 4484.684620493166, 4413.536109371175, 3107.9817294716026, 3459.1123576767236, 3337.637387763241, 7416.695095347945, 0.0, 3733.0804730661166, 6359.840786808368
Hungary, 7335.280521094176, 9047.167888851382, 879.0747580855453, 3515.692046949636, 7336.441263085196, 8553.924107757752, 1565.3464709436162, 8168.216793223794, 9666.647796747928, 5362.189390177849, 9509.34039355127, 689.5584249854912, 10364.037892847722, 8245.947989752414, 1248.5095777290558, 811.7001366395743, 1448.8992099359366, 1776.0647998299396, 10343.02801306629, 545.689533261731, 1387.6175677477947, 2220.647457470429, 9193.581047245247, 443.5761284961973, 4021.381775440329, 6777.377005064016, 9681.077902826406, 1699.9281889761069, 1012.0401052449735, 1976.8089726707044, 11450.188194482758, 1482.8929627954335, 1317.5464964410369, 15713.800581247338, 2044.4036712826103, 8190.770906675367, 9867.822263208216, 2639.8372378080635, 12656.692306863515, 640.230678987828, 11951.849348195363, 8065.1243757776465, 1145.8739498982745, 3191.9859826727816, 6710.742950155579, 3765.3183488151294, 4408.408170894576, 3733.0804730661166, 0.0, 2626.9130696425145
Morocco, 9938.27883482166, 11522.338529123877, 1869.398774586202, 5232.642804177289, 6144.165365896929, 11165.160415817572, 4145.974186045206, 10734.732911936151, 7041.669683803061, 7772.555062400244, 11815.14790606641, 2610.058763882311, 9019.053263914244, 10689.909515848429, 1815.7252603741442, 1899.5932235570256, 2018.1641164140576, 944.1530746402055, 12563.10417887187, 3000.224271960461, 3556.083971343315, 3906.7125111443875, 11498.741981516509, 2488.7706107295617, 5944.783080640834, 5843.372537526174, 12288.473460262969, 1855.3383777983188, 2830.6319040364615, 761.9603053944222, 9000.878796483916, 3150.7777227458632, 3351.8923052903874, 17815.91715421141, 3874.994747301452, 7600.039035527604, 7632.965730506878, 4688.774483027036, 10030.271942234383, 3037.235204272102, 9343.725808545392, 10628.765103055639, 2242.9956708587183, 5148.080096936821, 9179.010522841556, 5647.279938775393, 3136.253507359873, 6359.840786808368, 2626.9130696425145, 0.0
